epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,25967.6,0.76312,0.77947,1.12887,0.926,0.82179,0.90372,0.66774,0.97132,0.67912,1.15409,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,26769.9,0.75511,0.7676,1.12455,0.93017,0.82056,0.90394,0.6693,0.97013,0.6784,1.15263,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,27571.8,0.75205,0.7627,1.12283,0.93117,0.8216,0.90464,0.67038,0.96794,0.67715,1.15064,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,830.465,0.73196,0.73386,1.11196,0.92956,0.82041,0.9043,0.67087,0.96606,0.67424,1.14949,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,1635.76,0.73451,0.73842,1.11266,0.93726,0.81694,0.90426,0.67094,0.96398,0.67299,1.14845,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,2438.62,0.72771,0.73158,1.10803,0.93941,0.81399,0.90396,0.67185,0.96312,0.67249,1.14799,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3240.66,0.72237,0.7204,1.10326,0.93606,0.81624,0.90396,0.67274,0.96099,0.6716,1.14653,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4041.65,0.71687,0.71525,1.10034,0.93886,0.81589,0.90403,0.6733,0.9592,0.67074,1.14562,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4843.25,0.7109,0.70962,1.0972,0.94118,0.81624,0.9045,0.67397,0.95729,0.66917,1.14423,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,5647.52,0.56753,0.44476,0.99642,0.93606,0.81798,0.90519,0.67595,0.95357,0.66803,1.14064,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6450.29,0.54904,0.41932,0.98654,0.94023,0.81607,0.90603,0.67812,0.95049,0.66526,1.13812,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7253.78,0.53553,0.40295,0.97709,0.93732,0.82058,0.90716,0.68001,0.94632,0.66315,1.13531,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8055.92,0.5202,0.38415,0.96916,0.9375,0.82179,0.90755,0.68169,0.94321,0.66135,1.13313,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8858.4,0.50871,0.37135,0.96166,0.93806,0.8237,0.90818,0.68248,0.9414,0.65992,1.13241,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9662.16,0.49491,0.35543,0.95557,0.93767,0.82482,0.90837,0.68397,0.93982,0.65864,1.13198,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,10465.9,0.48307,0.34101,0.94949,0.93863,0.82541,0.90956,0.6856,0.93949,0.65705,1.13279,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,11269.5,0.47304,0.33086,0.94345,0.93872,0.82669,0.91017,0.68668,0.93845,0.65582,1.13363,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12072.5,0.46137,0.31984,0.9373,0.93991,0.82508,0.91068,0.68785,0.93802,0.65523,1.13484,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12875.5,0.45259,0.31124,0.93387,0.94124,0.82492,0.91062,0.68868,0.93762,0.6561,1.13558,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
